incremental: 16/72 done; trim_ready=False
incremental: 20/72 done; trim_ready=False
incremental: 24/72 done; trim_ready=False
incremental: 24/72 done; trim_ready=False
incremental: 26/72 done; trim_ready=False
incremental: 27/72 done; trim_ready=False
incremental: 28/72 done; trim_ready=False
incremental: 30/72 done; trim_ready=False
incremental: 30/72 done; trim_ready=False
incremental: 32/72 done; trim_ready=False
incremental: 33/72 done; trim_ready=False
incremental: 34/72 done; trim_ready=False
incremental: 36/72 done; trim_ready=False
incremental: 36/72 done; trim_ready=False
incremental: 38/72 done; trim_ready=False
incremental: 39/72 done; trim_ready=False
incremental: 40/72 done; trim_ready=False
incremental: 42/72 done; trim_ready=False
incremental: 42/72 done; trim_ready=False
incremental: 44/72 done; trim_ready=False
incremental: 45/72 done; trim_ready=False
incremental: 46/72 done; trim_ready=False
incremental: 48/72 done; trim_ready=True
incremental: 48/72 done; trim_ready=True
queues done — final incremental pass written, exiting
